feature,importance,rank
ndvi,0.13811399338513242,1
nir,0.1203382543937351,2
swir16,0.11784494979533275,3
ndwi,0.0997980157362382,4
bsi_partial,0.09850882504764395,5
red,0.09662929979700043,6
swir22,0.08181712575576028,7
green,0.07935897761094236,8
blue,0.06671914178952694,9
nbr,0.05320829524009747,10
ndbi,0.04766312144858991,11
